city,country,lat,lng,max_temp,humidity,cloudiness,wind_speed,date
Mineros,BO,-17.1167,-63.2333,68.0,73,75,6.91,1619655921
Brewster,US,41.3973,-73.6171,66.0,80,100,5.88,1619655921
Henderson,US,36.0397,-114.9819,82.99,10,1,17.27,1619655638
Cocentaina,ES,38.7398,-0.4398,57.99,91,99,1.01,1619655922
Canguaretama,BR,-6.38,-35.1289,78.8,83,20,5.75,1619655922
Buin,CL,-33.7333,-70.75,71.01,52,0,8.05,1619655922
Ishinomaki,JP,38.4167,141.3,57.2,88,75,1.14,1619655923
Consett,GB,54.854,-1.8316,39.0,90,78,6.53,1619655923
Sabang,ID,5.8933,95.3214,82.22,71,75,1.7,1619655923
Oistins,BB,13.0667,-59.5333,78.8,65,75,20.71,1619655694
Megion,RU,61.0296,76.1136,37.4,75,0,6.71,1619655924
Port Keats,AU,-14.25,129.55,84.25,61,9,9.4,1619655924
Durban,ZA,-29.8579,31.0292,72.0,88,75,4.61,1619655924
Road Town,VG,18.4167,-64.6167,75.99,78,75,6.91,1619655916
Patancheru,IN,17.5314,78.265,79.0,61,40,5.75,1619655925
Abū Zabad,SD,12.35,29.25,84.38,18,65,4.72,1619655925
Guiglo,CI,6.5456,-7.4966,74.14,98,68,1.81,1619655926
Chambersburg,US,39.9376,-77.6611,82.4,39,75,4.61,1619655788
Grand Island,US,40.925,-98.342,62.6,63,20,12.66,1619655926
Alofi,NU,-19.0595,-169.9187,84.2,84,90,8.05,1619655927
Kropotkin,RU,45.4375,40.5756,50.0,85,49,9.8,1619655927
Tuatapere,NZ,-46.1333,167.6833,57.99,80,93,8.01,1619655927
Rumford,US,44.5537,-70.5509,54.0,87,100,1.01,1619655928
Māgadi,IN,12.9667,77.2333,71.6,73,48,1.14,1619655928
Bay City,US,43.5945,-83.8889,51.8,82,90,13.8,1619655689
Thenali,IN,16.2425,80.6398,80.6,94,75,3.74,1619655928
Angoram,PG,-4.0625,144.0661,82.96,73,100,3.58,1619655929
Chokurdakh,RU,70.6333,147.9167,17.87,90,82,10.78,1619655929
Rocky Mountain House,CA,52.3668,-114.9188,57.2,33,87,3.44,1619655929
Lichuan,CN,30.3,108.85,54.84,87,77,2.51,1619655930
Havøysund,NO,70.9963,24.6622,26.6,74,75,4.61,1619655930
Nabire,ID,-3.3667,135.4833,83.75,67,82,2.1,1619655930
Sena Madureira,BR,-9.0656,-68.6569,71.69,98,46,2.86,1619655931
Joura,IN,26.3411,77.8115,85.57,8,18,1.52,1619655931
Kholtoson,RU,50.2981,103.3097,35.1,80,99,3.06,1619655931
Kailua,US,21.4022,-157.7394,80.6,69,90,9.22,1619655932
Harfleur,FR,49.5066,0.1983,44.6,87,90,8.05,1619655932
Samarai,PG,-10.6167,150.6667,80.33,71,100,11.16,1619655932
Tagbac,PH,7.089,125.1567,82.4,78,75,6.91,1619655933
Ashland,US,40.8167,-82.2665,73.4,60,90,16.11,1619655933
Cururupu,BR,-1.8283,-44.8683,75.2,89,100,2.84,1619655933
Ocós,GT,14.5094,-92.1933,82.4,83,90,3.44,1619655934
Hasaki,JP,35.7333,140.8333,63.0,94,75,5.75,1619655934
Sur,OM,22.5667,59.5289,85.5,39,98,3.29,1619655934
Huarmey,PE,-10.0681,-78.1522,68.13,86,21,9.51,1619655885
Tecolutla,MX,20.4833,-97.0167,86.0,66,40,11.5,1619655935
Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,3.78,1619655935
Arkhangel’skoye,RU,55.8549,35.3287,29.35,92,35,5.28,1619655935
Brae,GB,60.3964,-1.353,37.4,87,40,10.36,1619655936
Souillac,MU,-20.5167,57.5167,77.0,83,75,11.5,1619655936
Şabrātah,LY,32.7933,12.4885,71.19,59,88,12.08,1619655936
Madison,US,34.7334,-86.5667,77.0,61,90,3.44,1619655757
Alma,CA,48.5501,-71.6491,59.0,36,75,6.91,1619655832
Saryg-Sep,RU,51.5,95.6,43.79,89,97,5.06,1619655937
Ryōtsu-minato,JP,38.0833,138.4333,55.4,100,75,5.75,1619655937
Samarinda,ID,-0.5,117.15,76.93,92,99,0.81,1619655938
Lázaro Cárdenas,MX,17.9583,-102.2,81.54,68,66,11.79,1619655938
Atar,MR,20.5169,-13.0499,83.79,20,93,4.03,1619655938
Tegul'det,RU,57.3064,88.1667,38.98,93,67,8.05,1619655939
Fare,PF,-16.7,-151.0167,81.73,73,42,9.62,1619655939
Kendari,ID,-3.945,122.4989,81.01,74,70,0.4,1619655939
Tarrafal,CV,15.2833,-23.7667,71.6,73,40,14.97,1619655940
Buraidah,SA,26.326,43.975,71.6,56,20,4.61,1619655940
Oyama,JP,36.3,139.8,66.0,88,75,6.91,1619655940
Colonia Nueva Germania,PY,-23.9,-56.5667,59.5,55,63,4.07,1619655940
Rio Brilhante,BR,-21.8019,-54.5464,66.07,35,43,8.95,1619655941
Hereford,GB,52.0568,-2.7148,39.99,59,46,6.44,1619655703
Sterlibashevo,RU,53.4376,55.2578,36.25,88,65,7.61,1619655941
Lamu,KE,-2.2717,40.902,79.54,85,5,6.87,1619655942
Poykovskiy,RU,61.2333,73.3333,37.4,100,75,2.24,1619655942
Nishihara,JP,26.1842,127.7558,73.4,83,90,14.97,1619655891
Lodwar,KE,3.1191,35.5973,82.96,52,67,15.26,1619655942
Naters,CH,46.3254,7.9891,53.01,94,100,5.01,1619655943
Beloha,MG,-25.1667,45.05,69.75,90,0,5.14,1619655943
Clyde River,CA,70.4692,-68.5914,23.0,93,1,10.36,1619655944
Bandarbeyla,SO,9.4942,50.8122,82.81,78,20,4.18,1619655851
Norman Wells,CA,65.282,-126.8329,33.8,47,1,19.57,1619655944
Auki,SB,-8.7676,160.7034,84.38,65,53,2.51,1619655944
Clovis,US,36.8252,-119.7029,82.99,17,20,3.44,1619655942
Biltine,TD,14.5333,20.9167,84.16,10,83,9.08,1619655945
Peleduy,RU,59.6289,112.7406,27.63,81,33,7.18,1619655945
Saint Paul Harbor,US,57.79,-152.4072,44.6,93,90,6.91,1619655723
Georgiyevka,KZ,43.0369,74.7114,57.2,62,0,6.71,1619655946
Oranjemund,NA,-28.55,16.4333,58.28,89,34,15.7,1619655946
Nioro,GM,13.35,-15.75,80.04,31,25,10.47,1619655861
Makat,KZ,47.6469,53.3463,48.94,70,87,13.44,1619655946
Maltahöhe,NA,-24.8333,16.9833,63.03,39,0,7.58,1619655947
Harper,LR,4.375,-7.7169,80.24,83,56,5.97,1619655947
Porto Santo,PT,33.072,-16.3415,62.6,67,75,3.44,1619655947
Udachny,RU,66.4167,112.4,28.89,85,49,6.22,1619655948
Kyzyl-Suu,KG,42.3414,78.0056,50.65,43,0,8.5,1619655948
Katherine,AU,-14.4667,132.2667,84.2,61,20,10.36,1619655948
Cedar City,US,37.6775,-113.0619,61.0,25,1,21.85,1619655855
Tilichiki,RU,60.4667,166.1,30.81,96,99,5.08,1619655949
Nizwá,OM,22.9333,57.5333,82.36,29,99,3.02,1619655949
Usinsk,RU,65.9939,57.5281,27.75,86,99,9.13,1619655949
The Valley,AI,18.217,-63.0578,75.2,78,75,1.14,1619655906
Lenger,KZ,42.183,69.8839,59.0,58,0,4.47,1619655950
Rochegda,RU,62.8,43.25,29.12,81,100,4.43,1619655950
Severnyy-Kospashskiy,RU,59.0925,57.8008,37.0,100,100,1.99,1619655950
Edéia,BR,-17.3383,-49.9314,70.63,30,52,3.78,1619655951
Hella,NO,67.2,14.4333,32.0,69,40,6.91,1619655951
Thames,NZ,-37.1333,175.5333,66.99,69,72,3.0,1619655951
Yining,CN,29.0361,114.5636,64.45,82,69,2.91,1619655952
Arman',RU,59.7,150.1667,34.61,71,49,1.03,1619655952
Lavrentiya,RU,65.5833,-171.0,27.72,73,7,6.78,1619655952
Margate,GB,51.3813,1.3862,45.0,78,100,8.01,1619655953
Santa Fe,AR,-31.6333,-60.7,64.99,71,0,1.99,1619655953
Fukuechō,JP,32.6881,128.8419,60.8,100,75,4.61,1619655954
Abu Samrah,SY,35.3029,37.1841,64.72,47,0,6.53,1619655954
Inírida,CO,3.8653,-67.9239,73.74,96,98,1.36,1619655954
Noumea,NC,-22.2763,166.4572,80.01,53,0,12.66,1619655657
Narsaq,GL,60.9167,-46.05,37.4,81,75,10.36,1619655955
Djibo,BF,14.1022,-1.6306,90.1,28,21,9.33,1619655955
Villacarrillo,ES,38.1156,-3.0848,48.83,90,17,2.24,1619655955
Larsnes,NO,62.2028,5.5773,39.99,81,15,7.0,1619655956
Manta,EC,-0.95,-80.7333,80.6,74,75,6.91,1619655956
Williams Lake,CA,52.1415,-122.1445,46.4,93,90,8.05,1619655956
Darnah,LY,32.767,22.6367,80.96,17,63,28.43,1619655958
Correntina,BR,-13.3433,-44.6367,73.89,63,68,1.28,1619655958
Nikolskoye,RU,59.7035,30.7861,35.6,75,0,11.18,1619655958
Umluj,SA,25.0213,37.2685,80.91,38,0,8.3,1619655959
Tazovsky,RU,67.4667,78.7,29.64,97,100,4.83,1619655959
Outjo,NA,-20.1167,16.15,64.18,37,1,2.04,1619655959
Vila Velha,BR,-20.3297,-40.2925,75.2,78,75,6.91,1619655960
Maniitsoq,GL,65.4167,-52.9,35.46,80,100,1.3,1619655960
Port Elizabeth,ZA,-33.918,25.5701,60.8,88,20,18.41,1619655960
Kahului,US,20.8947,-156.47,82.4,65,40,11.5,1619655860
Saravena,CO,6.9538,-71.8752,74.26,89,100,2.01,1619655961
Celestún,MX,20.8667,-90.4,87.76,57,1,16.2,1619655961
Half Moon Bay,US,37.4636,-122.4286,82.4,72,1,10.36,1619655961
Batagay-Alyta,RU,67.8006,130.4114,19.02,69,12,2.19,1619655896
Hohhot,CN,40.8106,111.6522,44.6,49,20,13.42,1619655962
Dhidhdhoo,MV,6.8833,73.1,83.8,73,11,7.56,1619655962
Qasigiannguit,GL,68.8193,-51.1922,33.8,80,100,8.05,1619655962
Little Chute,US,44.28,-88.3184,55.99,78,96,7.61,1619655963
Suoyarvi,RU,62.0833,32.35,31.17,84,100,5.44,1619655963
Rawson,AR,-43.3002,-65.1023,62.67,65,70,11.32,1619655963
Belyy Yar,RU,53.6039,91.3903,46.4,66,0,8.95,1619655964
Sirte,LY,31.2089,16.5887,83.19,30,97,9.51,1619655964
São João da Barra,BR,-21.6403,-41.0511,74.01,72,56,8.84,1619655964
Dingcheng,CN,32.1272,115.0394,66.07,61,47,19.6,1619655965
Anadyr,RU,64.75,177.4833,24.8,80,0,4.47,1619655965
Creel,MX,27.75,-107.6333,50.99,28,2,21.68,1619655965
Camaná,PE,-16.6228,-72.7111,67.28,86,59,7.02,1619655965
Lithgow,AU,-33.4833,150.15,60.01,100,4,0.74,1619655966
Trat,TH,12.5,102.5,79.0,99,94,2.21,1619655966
Saint-Pierre,RE,-21.3393,55.4781,75.2,73,0,6.91,1619655967
Portobelo,PA,9.55,-79.65,82.4,65,20,4.61,1619655967
Berlevåg,NO,70.8578,29.0864,28.89,68,100,16.62,1619655967
Yataity del Norte,PY,-24.8333,-56.35,56.7,62,20,4.54,1619655968
Dergachi,RU,51.2328,48.7659,38.75,82,1,7.0,1619655968
Impfondo,CG,1.6381,18.0667,72.01,97,100,1.52,1619655968
Euclid,US,41.5931,-81.5268,73.4,64,40,13.8,1619655710
Maxixe,MZ,-23.8597,35.3472,72.07,80,0,6.49,1619655969
Ust-Kuyga,RU,70.0167,135.6,19.6,90,89,7.11,1619655969
Verkhnevilyuysk,RU,63.4453,120.3167,29.82,76,34,0.49,1619655969
Denpasar,ID,-8.65,115.2167,80.6,83,20,2.3,1619655970
Bertoua,CM,4.5833,13.6833,68.31,99,89,3.33,1619655970
Ixtapa,MX,20.7,-105.2,78.8,73,20,10.36,1619655970
Eyl,SO,7.9803,49.8164,83.01,76,18,5.12,1619655956
Poum,NC,-20.2333,164.0167,74.64,54,0,7.67,1619655971
Niono,ML,14.2526,-5.993,92.84,31,83,11.92,1619655971
Yangambi,CD,0.8102,24.4336,71.37,99,100,3.29,1619655971
Ashquelon,IL,31.6693,34.5715,64.0,94,0,3.44,1619655971
Matagami,CA,49.7502,-77.6328,55.4,24,1,4.61,1619655972
Praia,CV,14.9215,-23.5087,71.6,73,40,14.97,1619655972
Mount Gambier,AU,-37.8333,140.7667,55.4,82,6,8.05,1619655972
Djenné,ML,13.9061,-4.5533,95.61,26,91,6.53,1619655973
Magadan,RU,59.5667,150.8,32.04,80,24,2.26,1619655973
Jacareacanga,BR,-6.2222,-57.7528,71.82,99,100,1.5,1619655973
Bozeman,US,45.6796,-111.0386,66.99,24,1,16.11,1619655753
Kaili,ID,-3.4626,120.2147,72.63,82,89,1.1,1619655974
Alexandria,EG,31.2156,29.9553,66.2,77,0,6.91,1619655834
Lüderitz,NA,-26.6481,15.1594,60.67,74,1,19.19,1619655974
Korčula,HR,42.9622,17.1369,53.6,100,75,1.14,1619655834
Cherskiy,RU,68.75,161.3,29.8,98,100,7.34,1619655975
Altay,CN,47.8667,88.1167,52.61,55,49,6.33,1619655975
Molokovo,RU,58.1661,36.7628,29.37,96,37,5.39,1619655975
La Flèche,FR,47.6982,-0.0755,48.2,81,0,4.61,1619655976
Kasongo-Lunda,CD,-6.4667,16.8167,70.77,95,88,0.27,1619655976
Páez,CO,5.1011,-73.0512,65.26,98,96,0.43,1619655976
Mackay,AU,-21.15,149.2,75.2,73,75,14.97,1619655977
Port Blair,IN,11.6667,92.75,78.8,83,40,1.14,1619655863
Port Hedland,AU,-20.3167,118.5667,82.4,23,2,10.36,1619655977
Bara,NG,10.3744,10.7288,82.35,10,51,1.25,1619655977
Limbang,MY,4.75,115.0,78.8,94,75,3.44,1619655978
Mukhtolovo,RU,55.4644,43.1953,32.7,94,15,7.34,1619655978
Yeppoon,AU,-23.1333,150.7333,71.6,68,75,12.66,1619655978
Bāglung,NP,28.2719,83.5898,66.74,29,26,7.16,1619655979
Fort Nelson,CA,58.8053,-122.7002,37.4,35,20,5.75,1619655979
Goderich,CA,43.7501,-81.7165,41.0,93,99,9.22,1619655944
Barreirinhas,BR,-2.7469,-42.8264,76.06,91,80,4.79,1619655979
Gaza,PS,31.5,34.4667,64.0,94,0,3.44,1619655980
Abnūb,EG,27.2696,31.1511,71.6,37,0,11.5,1619655980
Bonavista,CA,48.6499,-53.1147,39.99,93,93,5.75,1619655980
Kabinda,CD,-6.1333,24.4833,69.21,88,49,3.38,1619655981
Pangnirtung,CA,66.1451,-65.7125,34.61,83,100,3.78,1619655981
Guasdualito,VE,7.2424,-70.7324,84.2,70,100,1.14,1619655981
Ambon City,ID,-3.6954,128.1814,82.4,78,40,3.44,1619655982
Susurluk,TR,39.9136,28.1578,60.8,67,75,1.81,1619655982
Namatanai,PG,-3.6667,152.4333,84.58,66,79,5.77,1619655982
Kyrksæterøra,NO,63.2906,9.0891,35.6,86,20,2.3,1619655982
Hualmay,PE,-11.0964,-77.6139,66.99,85,28,9.98,1619655983
Tobol,KZ,52.6844,62.5794,42.33,84,64,6.96,1619655983
Thinadhoo,MV,0.5333,72.9333,82.85,70,95,6.76,1619655983
Geraldton,AU,-28.7667,114.6,62.6,63,95,9.22,1619655984
Yārāda,IN,17.65,83.2667,82.4,94,40,3.44,1619655984
Krasnosel'kup,RU,65.7,82.4667,31.68,94,100,8.32,1619655984
Eureka,US,40.8021,-124.1637,66.0,65,25,5.01,1619655807
Ankazoabo,MG,-22.2833,44.5167,70.84,72,61,4.94,1619655985
Gonbad-e Kāvūs,IR,37.25,55.1672,60.8,88,90,6.02,1619655813
Ola,RU,59.5833,151.2833,31.89,68,19,2.75,1619655985
Nānākuli,US,21.3906,-158.1547,82.4,51,90,11.5,1619655985
Polson,US,47.6936,-114.1632,66.99,36,96,8.01,1619655986
Muhoroni,KE,-0.1541,35.1988,62.76,94,93,3.53,1619655986
Kholodnyy,RU,62.7167,147.95,28.85,89,74,1.61,1619655987
Umm Kaddadah,SD,13.6017,26.6876,80.04,14,46,15.9,1619655987
Sohbatpur,PK,28.5202,68.5434,85.53,22,2,5.08,1619655987
Xai-Xai,MZ,-25.0519,33.6442,67.08,88,0,4.94,1619655988
Sittwe,MM,20.15,92.9,80.13,80,2,3.38,1619655988
Camacha,PT,33.0833,-16.3333,62.6,67,75,3.44,1619655988
Neuquén,AR,-38.9516,-68.0591,59.0,88,0,2.3,1619655989
Vitória,BR,-20.3194,-40.3378,75.2,78,75,6.91,1619655979
Tahe,CN,52.3333,124.7333,42.49,71,100,2.84,1619655989
Baharly,TM,38.4362,57.4316,73.54,54,86,5.59,1619655989
Areosa,PT,41.7178,-8.8571,51.8,76,40,3.44,1619655990
Makakilo City,US,21.3469,-158.0858,82.4,51,90,11.5,1619655829
Killybegs,IE,54.6333,-8.45,43.07,77,95,8.43,1619655990
La Ronge,CA,55.1001,-105.2842,33.8,55,100,3.44,1619655990
Uray,RU,60.1247,64.7758,36.43,85,97,11.63,1619655991
Zabaykal'sk,RU,49.6333,117.3167,29.61,73,90,17.6,1619655991
Egvekinot,RU,66.3167,-179.1667,20.66,85,51,2.59,1619655991
Benghazi,LY,32.1167,20.0667,79.38,24,92,16.87,1619655992
Birjand,IR,32.8663,59.2211,60.8,31,40,6.91,1619655993
Makassar,ID,-5.14,119.4221,77.0,94,20,4.61,1619655994
Mossamedes,AO,-15.1961,12.1522,74.88,68,26,8.79,1619655994
Zhigansk,RU,66.7697,123.3711,27.97,86,81,3.0,1619655994
Tarko-Sale,RU,64.9225,77.785,33.01,89,100,5.26,1619655994
Palana,RU,59.1167,159.9667,31.91,93,96,6.2,1619655995
Lima,PE,-12.0432,-77.0282,64.4,88,40,5.75,1619655863
Catalão,BR,-18.1658,-47.9464,68.4,37,100,2.1,1619655995
Insar,RU,53.8653,44.3738,33.28,88,27,7.34,1619655996
Bergen,NO,60.392,5.328,42.01,65,0,3.98,1619655996
Manaure,CO,11.7751,-72.4445,79.84,74,84,17.83,1619655996
Dvinskoy,RU,62.1535,45.1175,29.86,80,100,4.05,1619655997
Gornozavodsk,RU,58.3758,58.3211,34.81,91,93,8.03,1619655997
Asheboro,US,35.7079,-79.8136,77.0,50,1,6.58,1619655755
Kulhudhuffushi,MV,6.6221,73.07,83.71,74,10,7.72,1619655997
Bereda,ES,43.2686,-7.5406,42.01,96,40,3.0,1619655998
Chernyshevskiy,RU,63.0128,112.4714,27.91,79,19,1.59,1619655998
Turaif,SA,31.6725,38.6637,64.4,34,0,8.05,1619655998
Formosa,AR,-26.1775,-58.1781,59.0,100,0,4.61,1619655999
Kiboga,UG,0.9161,31.7742,61.34,97,96,2.98,1619655999
Port Macquarie,AU,-31.4333,152.9167,69.01,65,76,1.99,1619655805
Olafsvik,IS,64.8945,-23.7142,41.41,71,12,3.91,1619655999
Parambu,BR,-6.2111,-40.6944,74.75,68,64,2.51,1619656000
San Patricio,US,28.017,-97.5169,80.6,83,75,19.57,1619656000
Balikpapan,ID,-1.2675,116.8289,76.75,90,100,3.33,1619655880
Chicama,PE,-7.8447,-79.1469,64.4,88,87,9.22,1619656000
Antofagasta,CL,-23.65,-70.4,60.8,82,0,5.75,1619655742
Basco,PH,20.4487,121.9702,77.67,76,98,6.6,1619656001
Soe,ID,-9.8607,124.284,72.18,63,17,0.38,1619656001
Grafton,US,42.207,-71.6856,60.01,72,90,9.22,1619656001
Lødingen,NO,68.414,15.9951,34.0,86,78,5.75,1619656002
La Santisima Trinidad,BO,-14.8333,-64.9,73.4,64,75,5.75,1619656002
Elk Point,US,42.6833,-96.6836,66.2,55,1,6.91,1619656003
Kremenki,RU,54.885,37.1261,42.8,70,50,4.47,1619656003
Lompoc,US,34.6391,-120.4579,62.6,67,0,18.41,1619655896
Jyvaskyla,FI,62.2415,25.7209,28.0,100,0,4.61,1619656003
Saint Anthony,US,45.0205,-93.218,63.0,39,1,3.44,1619656004
São Filipe,CV,14.8961,-24.4956,71.91,79,18,8.57,1619656004
Fredericksburg,US,38.3032,-77.4605,80.6,47,40,8.05,1619655793
Ulladulla,AU,-35.35,150.4667,64.4,63,0,6.91,1619656004
Kandrian,PG,-6.2167,149.55,77.99,87,100,4.63,1619656005
Mollendo,PE,-17.0231,-72.0147,66.54,85,73,6.78,1619656005
Emba,KZ,48.8264,58.1442,48.29,61,99,4.83,1619656005
Kirakira,SB,-10.4544,161.9205,83.86,60,28,3.15,1619656006
